ReqID,Core,WCLatency,Arrival_Time,Finish_Time
11214,2,102,126403,126505
11225,2,114,126505,126619
11229,2,12,126619,126631
11243,2,102,126631,126733
11263,2,12,126733,126745
11268,2,102,126745,126847
11327,1,202,126759,126961
11289,2,228,126847,127075
11332,1,229,126961,127190
11293,2,228,127075,127303
11336,1,228,127190,127418
11312,2,228,127303,127531
11340,1,228,127418,127646
11328,2,228,127531,127759
11344,1,228,127646,127874
11331,2,228,127759,127987
11347,1,227,127874,128101
11348,2,228,127987,128215
11356,1,229,128101,128330
11352,2,228,128215,128443
11360,1,228,128330,128558
11364,2,228,128443,128671
11366,1,228,128558,128786
11372,2,228,128671,128899
11374,1,228,128786,129014
11377,2,228,128899,129127
11379,1,227,129014,129241
11380,2,228,129127,129355
11389,1,229,129241,129470
11384,2,228,129355,129583
11393,1,228,129470,129698
11397,2,228,129583,129811
11399,1,227,129698,129925
11405,2,228,129811,130039
11407,1,228,129925,130153
11410,2,228,130039,130267
11412,1,228,130153,130381
11413,2,228,130267,130495
11421,1,228,130381,130609
11417,2,228,130495,130723
11425,1,228,130609,130837
11429,2,228,130723,130951
11431,1,228,130837,131065
11437,2,228,130951,131179
11439,1,228,131065,131293
11451,2,228,131179,131407
11471,1,228,131293,131521
11472,2,228,131407,131635
11480,1,228,131521,131749
11476,2,228,131635,131863
11484,1,228,131749,131977
11488,2,228,131863,132091
11490,1,228,131977,132205
11496,2,228,132091,132319
11498,1,228,132205,132433
11501,2,228,132319,132547
11503,1,228,132433,132661
11505,2,228,132547,132775
11513,1,228,132661,132889
11509,2,228,132775,133003
11517,1,228,132889,133117
11522,2,228,133003,133231
11539,1,228,133117,133345
11570,2,228,133231,133459
11573,1,228,133345,133573
11576,2,228,133459,133687
11578,1,228,133573,133801
11580,2,228,133687,133915
11588,1,228,133801,134029
11584,2,228,133915,134143
11592,1,228,134029,134257
11597,2,228,134143,134371
11599,1,228,134257,134485
11605,2,228,134371,134599
11608,1,228,134485,134713
